date,home_team,away_team,home_goals,away_goals
2025-07-19,Civo Utd,Songwe Border,5,0
2025-07-19,Karonga United,Blue Eagles,0,1
2025-07-19,Mighty Wanderers,Mzuzu City,1,0
2025-07-13,Chitipa United,Karonga United,0,0
2025-07-13,Creck Sporting,Mzuzu City,1,0
2025-07-13,Dedza Dynamos,Blue Eagles,0,0
2025-07-13,Ekhaya,Mighty Wanderers,0,1
2025-07-13,Moyale Barracks,Silver Strikers,1,1
2025-07-12,Civo Utd,Big Bullets,2,1
2025-07-12,Songwe Border,Kamuzu Barracks,1,3
2025-07-10,Silver Strikers,MAFCO,0,0
2025-07-07,Karonga United,Kamuzu Barracks,0,1
2025-07-07,MAFCO,Dedza Dynamos,2,0
2025-07-05,Mighty Tigers,Mzuzu City,1,0
2025-07-02,Creck Sporting,Silver Strikers,1,2
2025-07-02,Ekhaya,Big Bullets,0,1
2025-07-02,Kamuzu Barracks,Civo Utd,1,1
2025-07-02,Songwe Border,Mighty Wanderers,0,2
2025-06-29,Karonga United,Mighty Wanderers,1,1
2025-06-29,Mzuzu City,Chitipa United,0,0
2025-06-28,Creck Sporting,Moyale Barracks,1,0
2025-06-28,Dedza Dynamos,Ekhaya,0,0
2025-06-28,MAFCO,Mighty Tigers,3,1
2025-06-25,Big Bullets,Moyale Barracks,3,0
2025-06-25,Chitipa United,Songwe Border,4,0
2025-06-25,Civo Utd,Creck Sporting,2,0
2025-06-25,Silver Strikers,Karonga United,3,1
2025-06-22,Mighty Wanderers,Dedza Dynamos,2,0
2025-06-22,Mzuzu City,Ekhaya,1,3
2025-06-21,Blue Eagles,MAFCO,2,1
2025-06-21,Chitipa United,Kamuzu Barracks,1,0
2025-06-18,Moyale Barracks,Mzuzu City,0,2
2025-06-15,Big Bullets,Mighty Tigers,2,0
2025-06-15,Blue Eagles,Silver Strikers,1,1
2025-06-15,Dedza Dynamos,Songwe Border,3,0
2025-06-15,Kamuzu Barracks,Mighty Wanderers,0,3
2025-06-15,Karonga United,Mzuzu City,2,0
2025-06-15,Moyale Barracks,Chitipa United,0,0
2025-06-14,Civo Utd,MAFCO,0,0
2025-06-14,Ekhaya,Creck Sporting,1,0
2025-06-03,Mighty Tigers,Moyale Barracks,1,1
2025-06-01,Silver Strikers,Civo Utd,2,0
2025-05-31,Blue Eagles,Ekhaya,0,0
2025-05-31,Kamuzu Barracks,Dedza Dynamos,2,2
2025-05-31,MAFCO,Creck Sporting,1,2
2025-05-31,Mighty Wanderers,Big Bullets,1,0
2025-05-31,Songwe Border,Karonga United,0,1
2025-05-25,Creck Sporting,Songwe Border,2,0
2025-05-25,Dedza Dynamos,Civo Utd,1,0
2025-05-25,Mighty Wanderers,Silver Strikers,1,1
2025-05-24,Big Bullets,Kamuzu Barracks,4,0
2025-05-24,Blue Eagles,Mzuzu City,6,1
2025-05-24,MAFCO,Moyale Barracks,0,1
2025-05-22,Mighty Tigers,Chitipa United,1,0
2025-05-21,Creck Sporting,Kamuzu Barracks,0,0
2025-05-21,Ekhaya,Karonga United,2,0
2025-05-18,Big Bullets,Chitipa United,3,0
2025-05-18,Creck Sporting,Mighty Wanderers,0,1
2025-05-18,Dedza Dynamos,Karonga United,0,4
2025-05-17,Kamuzu Barracks,Ekhaya,1,0
2025-05-15,Mighty Wanderers,MAFCO,2,0
2025-05-15,Songwe Border,Silver Strikers,1,4
2025-05-14,Dedza Dynamos,Big Bullets,0,1
2025-05-11,Chitipa United,Civo Utd,1,1
2025-05-11,Mzuzu City,Songwe Border,1,1
2025-05-10,Karonga United,Mighty Tigers,0,1
2025-05-10,Moyale Barracks,Blue Eagles,0,0
2025-05-04,Blue Eagles,Civo Utd,0,2
2025-05-04,Creck Sporting,Mighty Tigers,1,0
2025-04-27,Dedza Dynamos,Chitipa United,2,0
2025-04-27,Kamuzu Barracks,Silver Strikers,0,2
2025-04-27,Mighty Tigers,Blue Eagles,1,2
2025-04-26,MAFCO,Mzuzu City,3,2
2025-04-26,Moyale Barracks,Civo Utd,1,1
2025-04-26,Songwe Border,Ekhaya,1,2
2025-04-21,Chitipa United,Ekhaya,1,0
2025-04-21,Mighty Tigers,Dedza Dynamos,2,0
2025-04-20,Big Bullets,Songwe Border,7,0
2025-04-20,Blue Eagles,Creck Sporting,0,0
2025-04-19,MAFCO,Kamuzu Barracks,0,4
2025-04-16,Big Bullets,Creck Sporting,4,1
2025-04-14,Ekhaya,Civo Utd,1,0
2025-04-13,Dedza Dynamos,Mzuzu City,0,1
2025-04-13,Kamuzu Barracks,Moyale Barracks,0,2
2025-04-13,Karonga United,MAFCO,1,0
2025-04-13,Mighty Tigers,Mighty Wanderers,2,3
2025-04-12,Blue Eagles,Songwe Border,4,0
2025-04-12,Chitipa United,Silver Strikers,2,2
2025-04-06,Civo Utd,Karonga United,0,1
2025-04-06,Creck Sporting,Dedza Dynamos,1,4
2025-04-06,Mighty Wanderers,Blue Eagles,3,1
2025-04-06,Mzuzu City,Kamuzu Barracks,1,3
2025-04-06,Songwe Border,Moyale Barracks,0,1
2025-04-05,Ekhaya,Mighty Tigers,2,0
2025-04-05,MAFCO,Chitipa United,1,0
2025-04-05,Silver Strikers,Big Bullets,0,1
