date,home_team,away_team,home_goals,away_goals
2025-12-27,Big Bullets,Mzuzu City,4,0
2025-12-27,Creck Sporting,MAFCO,1,0
2025-12-27,Dedza Dynamos,Moyale Barracks,0,0
2025-12-27,Karonga United,Chitipa United,1,0
2025-12-27,Mighty Tigers,Ekhaya,0,2
2025-12-27,Mighty Wanderers,Kamuzu Barracks,2,2
2025-12-27,Silver Strikers,Blue Eagles,1,1
2025-12-27,Songwe Border,Civo Utd,0,5
2025-12-24,Blue Eagles,Mighty Tigers,1,0
2025-12-24,Dedza Dynamos,Creck Sporting,0,1
2025-12-24,Karonga United,Civo Utd,1,2
2025-12-24,Silver Strikers,Mzuzu City,3,0
2025-12-20,MAFCO,Silver Strikers,0,1
2025-12-20,Mighty Tigers,Big Bullets,0,0
2025-12-20,Mighty Wanderers,Moyale Barracks,6,0
2025-12-20,Songwe Border,Blue Eagles,1,2
2025-12-17,Creck Sporting,Ekhaya,4,2
2025-12-14,Big Bullets,Ekhaya,2,0
2025-12-14,Karonga United,Silver Strikers,1,1
2025-12-14,Mighty Wanderers,Civo Utd,1,0
2025-12-14,Moyale Barracks,Creck Sporting,2,0
2025-12-13,Chitipa United,Mzuzu City,2,2
2025-12-11,Mighty Wanderers,Karonga United,2,0
2025-12-10,Blue Eagles,Kamuzu Barracks,3,1
2025-12-10,Ekhaya,Silver Strikers,0,1
2025-12-10,Moyale Barracks,Big Bullets,2,0
2025-12-07,Blue Eagles,Chitipa United,3,1
2025-12-07,Civo Utd,Moyale Barracks,3,0
2025-12-07,Kamuzu Barracks,Creck Sporting,1,0
2025-12-07,Mighty Wanderers,Ekhaya,1,0
2025-12-07,Silver Strikers,Songwe Border,6,0
2025-12-06,Karonga United,Big Bullets,0,2
2025-12-04,Moyale Barracks,Ekhaya,2,1
2025-12-04,Silver Strikers,Kamuzu Barracks,1,0
2025-12-03,Chitipa United,Mighty Tigers,3,2
2025-12-03,Civo Utd,Dedza Dynamos,0,0
2025-12-03,MAFCO,Songwe Border,2,0
2025-12-03,Mzuzu City,Mighty Wanderers,2,1
2025-11-30,Chitipa United,Mighty Wanderers,0,0
2025-11-30,Civo Utd,Silver Strikers,1,0
2025-11-30,Creck Sporting,Big Bullets,2,0
2025-11-30,Dedza Dynamos,MAFCO,2,1
2025-11-30,Karonga United,Ekhaya,1,0
2025-11-27,Kamuzu Barracks,Big Bullets,0,2
2025-11-27,MAFCO,Civo Utd,2,0
2025-11-26,Karonga United,Dedza Dynamos,3,1
2025-11-26,Mighty Wanderers,Mighty Tigers,3,0
2025-11-26,Silver Strikers,Moyale Barracks,3,0
2025-11-23,Big Bullets,Civo Utd,4,3
2025-11-23,Blue Eagles,Moyale Barracks,1,2
2025-11-23,Mzuzu City,MAFCO,0,0
2025-11-23,Songwe Border,Dedza Dynamos,0,3
2025-11-22,Ekhaya,Chitipa United,3,0
2025-11-22,Silver Strikers,Mighty Wanderers,2,2
2025-11-19,Creck Sporting,Karonga United,1,0
2025-11-19,MAFCO,Blue Eagles,1,2
2025-11-19,Mighty Tigers,Kamuzu Barracks,1,0
2025-11-19,Songwe Border,Mzuzu City,0,3
2025-11-09,Dedza Dynamos,Mighty Tigers,1,1
2025-11-08,Kamuzu Barracks,Karonga United,1,0
2025-11-08,Mzuzu City,Moyale Barracks,2,2
2025-11-06,Blue Eagles,Big Bullets,0,0
2025-11-06,Songwe Border,Creck Sporting,1,1
2025-11-05,Civo Utd,Chitipa United,0,1
2025-11-05,Dedza Dynamos,Silver Strikers,0,0
2025-11-02,Mighty Tigers,MAFCO,1,1
2025-11-02,Moyale Barracks,Songwe Border,1,0
2025-11-01,Ekhaya,Dedza Dynamos,1,1
2025-11-01,Kamuzu Barracks,Chitipa United,3,0
2025-11-01,Mzuzu City,Creck Sporting,1,1
2025-10-29,Kamuzu Barracks,Mzuzu City,1,0
2025-10-29,Mighty Wanderers,Songwe Border,2,0
2025-10-26,Big Bullets,Mighty Wanderers,0,3
2025-10-26,Moyale Barracks,Kamuzu Barracks,2,1
2025-10-25,Chitipa United,MAFCO,2,1
2025-10-25,Ekhaya,Blue Eagles,1,2
2025-10-25,Mighty Tigers,Songwe Border,1,0
2025-10-22,Blue Eagles,Mighty Wanderers,1,3
2025-10-22,Civo Utd,Mighty Tigers,0,0
2025-10-22,Ekhaya,Kamuzu Barracks,3,0
2025-10-21,Big Bullets,MAFCO,3,0
2025-10-21,Silver Strikers,Creck Sporting,2,1
2025-10-19,Chitipa United,Dedza Dynamos,1,0
2025-10-19,Civo Utd,Blue Eagles,3,1
2025-10-19,Mzuzu City,Karonga United,0,1
2025-10-15,MAFCO,Karonga United,2,2
2025-10-15,Mighty Tigers,Creck Sporting,1,2
2025-10-15,Mzuzu City,Dedza Dynamos,1,0
2025-10-15,Songwe Border,Chitipa United,1,0
2025-10-05,Big Bullets,Silver Strikers,2,1
2025-10-05,Blue Eagles,Karonga United,1,0
2025-10-05,Creck Sporting,Chitipa United,0,0
2025-10-05,Dedza Dynamos,Mighty Wanderers,0,1
2025-10-05,Mzuzu City,Civo Utd,1,2
2025-10-04,Ekhaya,Songwe Border,4,1
2025-10-04,Kamuzu Barracks,MAFCO,2,2
2025-10-04,Moyale Barracks,Mighty Tigers,2,2
2025-10-01,Mzuzu City,Mighty Tigers,2,1
2025-09-28,Chitipa United,Moyale Barracks,2,0
2025-09-28,Creck Sporting,Blue Eagles,1,1
2025-09-28,Karonga United,Songwe Border,1,0
2025-09-27,Big Bullets,Dedza Dynamos,3,0
2025-09-27,Civo Utd,Kamuzu Barracks,1,0
2025-09-27,MAFCO,Ekhaya,2,1
2025-08-31,Dedza Dynamos,Kamuzu Barracks,1,0
2025-08-31,Mighty Tigers,Karonga United,1,2
2025-08-31,Moyale Barracks,MAFCO,1,1
2025-08-30,Mzuzu City,Blue Eagles,1,1
2025-08-27,Civo Utd,Ekhaya,1,0
2025-08-27,Mighty Wanderers,Creck Sporting,0,0
2025-08-27,Silver Strikers,Chitipa United,1,0
2025-08-27,Songwe Border,Big Bullets,1,3
2025-08-24,Blue Eagles,Dedza Dynamos,0,1
2025-08-24,Ekhaya,Mzuzu City,1,2
2025-08-24,Karonga United,Moyale Barracks,3,1
2025-08-24,MAFCO,Mighty Wanderers,0,1
2025-08-23,Chitipa United,Big Bullets,0,2
2025-08-23,Creck Sporting,Civo Utd,0,0
2025-08-23,Kamuzu Barracks,Songwe Border,1,0
2025-08-23,Mighty Tigers,Silver Strikers,0,1
2025-08-10,Big Bullets,Karonga United,3,3
2025-08-10,Chitipa United,Blue Eagles,1,0
2025-08-10,Civo Utd,Mighty Wanderers,0,0
2025-08-10,Mzuzu City,Silver Strikers,0,2
2025-08-09,Ekhaya,MAFCO,1,0
2025-08-09,Moyale Barracks,Dedza Dynamos,3,1
2025-08-09,Songwe Border,Mighty Tigers,0,0
2025-08-03,Civo Utd,Mzuzu City,4,0
2025-08-03,MAFCO,Big Bullets,0,1
2025-08-03,Moyale Barracks,Karonga United,0,1
2025-08-02,Kamuzu Barracks,Blue Eagles,3,0
2025-08-02,Mighty Wanderers,Chitipa United,1,1
2025-08-02,Silver Strikers,Mighty Tigers,0,0
2025-07-31,Mzuzu City,Big Bullets,0,2
2025-07-30,Silver Strikers,Dedza Dynamos,2,1
2025-07-27,Big Bullets,Blue Eagles,0,1
2025-07-27,Songwe Border,MAFCO,1,3
2025-07-26,Karonga United,Creck Sporting,1,0
2025-07-26,Mighty Tigers,Civo Utd,0,1
2025-07-26,Moyale Barracks,Mighty Wanderers,1,1
2025-07-26,Silver Strikers,Ekhaya,3,1
2025-07-20,Chitipa United,Creck Sporting,0,0
2025-07-20,Ekhaya,Moyale Barracks,3,0
2025-07-20,Kamuzu Barracks,Mighty Tigers,0,0
